stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
17046,1493,Margem Esq. Rio Tejo,,39.521748,-7.834567
17238,8299,Campo  Experimental M Agricultura,,38.650043,-8.63106
16990,1421,Pero Viegas,,39.099577,-7.958308
17141,5091,Bombel,,38.684743,-8.514483
17043,1486,Herdade Comenda,,39.435525,-7.832362
17193,8177,Bombel Stand Motas,,38.686052,-8.504697
17192,8176,Bombel Vivenda Por do Sol,,38.685608,-8.49809
17011,1445,Alto Lameira,,39.234768,-7.877032
17148,5150,Piçarras (V.Novas),,38.653157,-8.581515
17191,8175,Vendas Novas Cafe O Terraco,,38.683998,-8.485595
17190,8174,Vendas Novas Cafe Alkimia,,38.683425,-8.481432
17045,1492,Amieira Tejo,,39.510063,-7.813085
17189,8173,Vendas Novas Bombas Galp,,38.682397,-8.473633
17174,8134,Vendas Novas Boavista,,38.681593,-8.470055
17178,8150,Vendas Novas Rest Rainha Bifanas,,38.680778,-8.466765
17177,8149,Vendas Novas Credito Agricola,,38.67863,-8.458273
17106,1626,Vila Flor - X,,39.509792,-7.797222
17176,8148,Vendas Novas Camara,,38.677325,-8.45497
17137,5084,Fabrica Tomate - Pegoes,,38.612508,-8.658742
16852,878,Est Rodoviaria V.Novas,,38.674208,-8.457225
17179,8163,Vendas Novas Rotunda da Artilharia,,38.674727,-8.449843
17005,1438,Valongo,,39.171538,-7.871373
17180,8164,Vendas Novas Intermache,,38.672435,-8.445483
17042,1485,Vale Feiteira,,39.387683,-7.794862
17079,1571,Cunheira,,39.319967,-7.809628
17317,8410,Cunheira Junta Freguesia,,39.318002,-7.809995
17239,8300,Landeira X,,38.600208,-8.664727
17136,5083,Moinho Novo,,38.599528,-8.655758
17128,5071,Fabrica Man,,38.667907,-8.436487
17329,8422,Comenda Rua Boavista,,39.395777,-7.782943
17328,8421,Comenda Largo Necessidades,,39.400475,-7.781065
17041,1484,Comenda,,39.398177,-7.781278
17241,8302,Agualva,,38.584943,-8.7095
17316,8409,Chanca Cafe Coimbra,,39.245693,-7.820473
17194,8179,Landeira Rua 25 de Abril,,38.595913,-8.651877
17010,1444,Chança,,39.248933,-7.81748
17085,1577,Chança - Est,,39.274687,-7.808277
17242,8303,Soares Costa,,38.581275,-8.720405
17105,1625,Amieira - X,,39.497923,-7.769622
17133,5080,Aguas Moura Est,,38.577058,-8.743967
17004,1436,Monte Branco (Avis),,39.134928,-7.868497
17240,8301,Aguas Moura Bombeiros,,38.58422,-8.697147
17150,5377,Landeira,,38.59422,-8.64861
17243,8304,Aguas Moura Cp,,38.573958,-8.747972
17134,5081,Aguas Moura,,38.583978,-8.691167
16989,1420,Ferradeira,,39.07044,-7.9044
17245,8306,Gambia R 1 de Maio,,38.568542,-8.764037
17244,8305,Escumalha,,38.569935,-8.754367
17132,5079,Gambia,,38.5667,-8.773705
17135,5082,Porto Abrigo,,38.581823,-8.680497
17040,1483,Monte Lameira,,39.385587,-7.770238
17233,8294,Benavila Est Pilha Carvao,,39.107233,-7.874683
17246,8307,Retiro Motoristas,,38.562213,-8.78397
16986,1412,Benavila,,39.111077,-7.8704
17247,8308,Apeadeiro,,38.561063,-8.786602
17003,1435,Valongo - X,,39.124147,-7.860165
17248,8309,Moveis Formosa,,38.558115,-8.793308
17029,1468,Tolosa - X,,39.468273,-7.755647
16984,1409,Benavila - X,,39.063488,-7.896785
17142,5094,Marconi,,38.659953,-8.409745
17249,8310,Pontes,,38.555152,-8.802715
17250,8311,Pontes Cafe Central,,38.552357,-8.80789
17098,1600,Falagueira,,39.537093,-7.748448
17009,1443,Chança - X,,39.21973,-7.805225
17131,5078,Sitio Pontes,,38.549368,-8.812175
17181,8165,Marconi Km 64,,38.658473,-8.397293
17232,8293,Avis Bombas Total,,39.052913,-7.893008
16840,853,Avis,,39.054177,-7.891318
17251,8312,Pontes Cafe Pina,,38.546115,-8.817777
17130,5077,Cotovia,,38.544202,-8.827367
17252,8313,Sado,,38.54377,-8.830905
17060,1522,Alcorrego - 1 X,,39.018967,-7.913482
16870,1157,Olival - X,,39.013573,-7.91752
17231,8292,Avis Farmacia Nova,,39.052985,-7.88841
17097,1599,Falagueira - X,,39.527177,-7.738622
16985,1410,Alcorrego,,39.017728,-7.910858
17256,8317,Poco Mouro,,38.53762,-8.854873
17253,8314,Hotel Ibis,,38.539242,-8.837667
17061,1523,Montinho (Avis),,39.008512,-7.916268
17129,5076,Alto Guerra,,38.53796,-8.846823
17255,8316,Alto Guerra Rest Campones,,38.538112,-8.84476
17254,8315,Alto Guerra Arm Moinho,,38.538307,-8.842027
17182,8166,Marconi Km 65,,38.654777,-8.384547
17257,8319,C N Electrica,,38.535325,-8.863053
17039,1482,Monte Pedra,,39.364072,-7.749052
17258,8320,Monte Belo,,38.533943,-8.869168
17259,8321,Quatro Caminhos,,38.5313,-8.87534
17260,8322,Setubal Av D Joao II,,38.530023,-8.876497
17261,8323,Setubal Hospital,,38.52891,-8.882507
17262,8324,Setubal Rua Almeida Garret,,38.528482,-8.887155
16832,829,Setubal,,38.52573,-8.889543
16818,805,Arez,,39.48414,-7.725588
17093,1592,Chao Velha,,39.580903,-7.727198
17104,1619,Lamarrancha - X,,39.440182,-7.727093
17099,1601,Monte Claro,,39.52898,-7.718965
17143,5095,Cabrela - X,,38.649517,-8.361483
17006,1440,Seda,,39.190258,-7.786228
17183,8167,Silveiras Km 68,,38.651165,-8.350388
17184,8168,Silveiras Oasis,,38.650565,-8.344722
16827,824,Tolosa,,39.423833,-7.715602
17341,8447,Tolosa Rua Catraia,,39.422333,-7.714378
17149,5179,Silveiras (Mont.),,38.650135,-8.33969
17094,1593,Cacheiro,,39.568567,-7.707412
17185,8169,Silveiras Km 70,,38.650055,-8.330448
17037,1480,Aldeia Mata (Crato),,39.304733,-7.728035
17030,1470,Herdade Figueiro,,39.498348,-7.699677
16974,1390,Fadagosa - X,,39.465038,-7.699828
17342,8448,Monte Duque,,39.616098,-7.704793
17038,1481,Aldeia Mata - X,,39.331212,-7.717408
17343,8449,Duque,,39.61419,-7.702888
17102,1604,Monte Duque - X,,39.61284,-7.702587
17101,1603,Monte Arneiro,,39.617048,-7.702653
17007,1441,Seda - X,,39.203508,-7.756825
17096,1595,Velada,,39.572138,-7.69491
17095,1594,Velada - 2 X,,39.563005,-7.691622
17186,8170,Safira X,,38.645092,-8.308515
17340,8446,Gafete Bairro Dr Armando Pequito,,39.414247,-7.689937
17144,5099,Alto Cuncos,,38.647378,-8.299017
17100,1602,Minas Maria Dias,,39.520268,-7.682138
16828,825,Gafete,,39.411685,-7.683405
17344,8450,Pardo,,39.602763,-7.68224
17145,5100,Ponte Lage,,38.649647,-8.277302
17103,1605,Monte Pardo - X,,39.604417,-7.675513
16841,854,Ervedal,,39.042728,-7.814425
17036,1479,Coito Vale Figueiras,,39.302883,-7.69284
17187,8171,Oliveira Vigia,,38.649057,-8.259557
20768,1578,Almadafe,,38.960003,-7.862253
16928,1314,Montes - X,,39.600985,-7.660933
16926,1312,Velada - X,,39.538517,-7.653193
16927,1313,Ribeira Nisa,,39.573333,-7.654485
17326,8419,Nisa Cine Teatro,,39.5164,-7.65098
17188,8172,Fonte Cavaleiros,,38.645213,-8.23933
17325,8418,Nisa Escola,,39.509128,-7.647585
16819,806,Nisa,,39.514115,-7.647467
17008,1442,Fonte Tujana,,39.19694,-7.703262
17175,8137,Montemor O Novo Cafe Pao Nosso,,38.64974,-8.217833
16924,1308,Vale Peso Est,,39.357592,-7.652605
16820,808,Montemor Novo,,38.648442,-8.211942
16925,1310,Alto Menises,,39.473712,-7.635688
17044,1487,Vale Peso,,39.350092,-7.64896
17173,8087,Janelinha Verde,,38.646323,-8.203978
16930,1323,Vale Peso - X,,39.345068,-7.644052
16980,1400,Figueira Barros,,39.047823,-7.762393
17146,5137,Pontao Torre,,38.655797,-8.175055
16923,1307,Flor Rosa,,39.304948,-7.64563
17330,8423,Crato Escola,,39.290027,-7.64894
16817,804,Alpalhao,,39.417468,-7.620972
17324,8417,Alpalhao Est Nisa,,39.421945,-7.619822
16844,857,Crato,,39.28832,-7.645107
17323,8416,Alpalhao Largo S Tiago,,39.415777,-7.617638
17319,8412,Crato Est Portalegre,,39.288528,-7.638863
16921,1304,Cabeço S.Lourenço,,39.241343,-7.65284
20771,8290,Casa Branca Rua Estalagem,,38.949752,-7.811735
16979,1399,Figueira Barros - X,,39.036003,-7.750247
17318,8411,Alter Chao X,,39.196018,-7.667085
17220,8270,Barragem Minutos X,,38.691625,-8.09126
20770,8289,Casa Branca Parque Infantil,,38.948408,-7.808182
20767,1414,Casa Branca Cano,,38.948275,-7.806365
16922,1305,Crato Est,,39.269537,-7.636427
16856,1089,Valeira - 1 X,,38.695218,-8.079098
16843,856,Alter Chao,,39.198268,-7.659568
16988,1418,Monte Novo - Ervedal,,38.981765,-7.771733
19228,1302,Alter Chao - X,,39.187752,-7.654858
16857,1106,Sao Pedro Gafanhoeira - X,,38.709323,-8.04209
