stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
18484,8773,Cassapos,,37.408357,-8.019268
18494,8785,Monte Novo Estrada,,37.385547,-8.089445
18348,4283,São Barnabe - X,,37.37363,-8.118303
18354,4290,Monte Vinha S.Barnabe,,37.359633,-8.170523
18193,4037,Brunheira - X,,37.38095,-8.079587
18485,8774,Corte Figueira Igreja,,37.392945,-8.032457
18488,8777,Gaviao (Almodovar),,37.371733,-8.111858
18300,4154,Corte Figueira,,37.393732,-8.027825
18198,4042,São Barnabe,,37.358463,-8.163563
18493,8784,Cerro das Covas,,37.357942,-8.158547
18487,8776,Cansados,,37.37387,-8.086693
18194,4038,Talefe,,37.371685,-8.079147
18196,4040,Felizes - X,,37.367723,-8.080113
18351,4286,Corte Pinheiro - X,,37.373685,-8.04208
18301,4155,Atalaia (Almodovar),,37.371338,-8.044737
18195,4039,Felizes,,37.354918,-8.095038
18486,8775,Moimentos,,37.361492,-8.064785
18350,4285,Corte Pinheiro,,37.361138,-8.020847
